num_expediente;fecha;hora;localizacion;numero;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S000898;24/01/2021;15:35:00;CALL. ALMIRANTE / PASEO. RECOLETOS;32;CENTRO;Colisión fronto-lateral;NULL;Bicicleta;Conductor;De 30 a 34 años;Hombre;NULL;441266,26;4474871,08;N;NULL
2021S000931;24/01/2021;1:30:00;PLAZA. CANOVAS DEL CASTILLO, 5;5;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;14;441039,24;4474058,37;N;NULL
2021S000931;24/01/2021;1:30:00;PLAZA. CANOVAS DEL CASTILLO, 5;5;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;De 60 a 64 años;Mujer;7;441039,24;4474058,37;N;NULL
2021S000933;23/01/2021;11:40:00;PASEO. YESERIAS / CALL. MELILLA;15A;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;7;439694,55;4472364,82;N;NULL
2021S001043;26/01/2021;7:25:00;GTA. SANTA MARIA DE LA CABEZA / GTA. EMBAJADORES;7;ARGANZUELA;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Mujer;6;440705,7;4472440,56;N;NULL
2021S001084;26/01/2021;23:10:00;CALL. GRAN VIA, 66;66;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;Desconocido;Desconocido;NULL;439858,99;4474883,96;N;NULL
2021S001109;28/01/2021;17:40:00;CALL. JUAN DE URBIETA, 3;3;RETIRO;Caída;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;1;442434,97;4472780,68;N;NULL
2021S001122;27/01/2021;22:10:00;CALL. ORENSE / CALL. SOR ANGELA DE LA CRUZ;69;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;2;441107,45;4478880,92;N;NULL
2021S001147;29/01/2021;16:00:00;PLAZA. LAVAPIES, 1;1;CENTRO;Caída;Nublado;Bicicleta;Conductor;De 40 a 44 años;Mujer;1;440499,2;4473401,54;N;NULL
2021S001184;29/01/2021;23:45:00;CALL. VILLANUEVA / CALL. VELAZQUEZ;34;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;2;441978,38;4474848,76;N;NULL
2021S001209;29/01/2021;14:55:00;CALL. BRAVO MURILLO / CALL. SANTA JULIANA;163;TETUÁN;Colisión fronto-lateral;NULL;Bicicleta;Conductor;Desconocido;Desconocido;NULL;440360,84;4478220,58;N;NULL
2021S001213;29/01/2021;18:30:00;CALL. PRINCIPE DE VERGARA, 24;24;SALAMANCA;Colisión frontal;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;NULL;442323,15;4475217,15;N;NULL
2021S001219;30/01/2021;15:00:00;CALL. ALMAGRO, 7;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Mujer;NULL;441089,23;4475607,85;N;NULL
2021S001289;31/01/2021;13:50:00;PLAZA. CIBELES, 1;1;RETIRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;NULL;441277,53;4474496,31;N;NULL
2021S001294;30/01/2021;19:30:00;CALL. CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN, 16;16;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;2;437483,66;4472625,91;N;NULL
2021S001304;31/01/2021;20:25:00;CALL. SERRANO, 102;102;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;6;441780,81;4476148,07;N;NULL
2021S001326;01/02/2021;13:05:00;CALL. ANDALUCES DEL POZO / CALL. ANDALUCES DEL POZO;9;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 6  a  9 años;Hombre;7;444023,99;4469221,03;N;NULL
2021S001330;31/01/2021;15:40:00;CALL. ARROYO FONTARRON / CALL. ENCOMIENDA DE PALACIOS;24;MORATALAZ;Caída;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;446231,21;4471807,07;N;NULL
2021S001366;01/02/2021;9:40:00;PQUE. MADRID RIO, +00650I;+00650I;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Mujer;1;440677,77;4471341,5;N;NULL
2021S001370;02/02/2021;9:05:00;PASEO. ERMITA DEL SANTO / PASEO. ERMITA DEL SANTO;68;CARABANCHEL;Caída;Nublado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;438488,32;4472979,51;N;NULL
2021S001423;31/01/2021;9:00:00;CALL. VILLAMANIN, 35;35;LATINA;Colisión fronto-lateral;NULL;Bicicleta;Conductor;De 55 a 59 años;Hombre;NULL;436108,74;4473175,55;N;NULL
2021S001449;31/01/2021;15:55:00;AVDA. MONFORTE DE LEMOS, 32;32;FUENCARRAL-EL PARDO;Alcance;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;440135,8;4481185,84;N;NULL
2021S001532;03/02/2021;18:43:00;CALL. PLANETA TIERRA, 6;6;ARGANZUELA;Choque contra obstáculo fijo;Lluvia débil;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;442262,52;4471445,17;N;NULL
2021S001645;06/02/2021;14:45:00;CALL. SERRANO, 45;45;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 18 a 20 años;Mujer;5;441693,4;4475598,94;N;NULL
2021S001691;07/02/2021;11:05:00;CALL. DIAMANTE / CTRA. VILLAVERDE A VALLECAS;1;VILLAVERDE;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;1;441522,69;4467287,99;N;NULL
2021S001696;07/02/2021;12:10:00;GTA. CARLOS LLAMAS, 0;0;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;2;448684,47;4477690,38;N;NULL
2021S001696;07/02/2021;12:10:00;GTA. CARLOS LLAMAS, 0;0;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 60 a 64 años;Hombre;14;448684,47;4477690,38;N;NULL
2021S001709;07/02/2021;15:00:00;AVDA. LUIS ARAGONES / PLAZA. GRECIA;4;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;448995,3;4476323,45;N;NULL
2021S001742;07/02/2021;10:51:00;AVDA. FRANCISCO JAVIER SAENZ DE OIZA / CALL. ALBERTO DE PALACIO;4;HORTALEZA;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;445607,02;4482235,33;N;NULL
2021S001804;08/02/2021;10:50:00;AVDA. MEMORIA / PLAZA. CARDENAL CISNEROS;2;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Mujer;2;438791,86;4476541,87;N;NULL
2021S001868;10/02/2021;15:45:00;AVDA. LOS ROSALES, 131;131;VILLAVERDE;Alcance;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;NULL;442438,96;4467021,44;N;NULL
2021S001909;06/02/2021;12:42:00;GTA. ANTONIO BONET / AVDA. FRANCISCO JAVIER SAENZ DE OIZA;0;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;1;447143,34;4483174,85;N;NULL
2021S001947;11/02/2021;20:30:00;CALL. GENERAL RICARDOS, 95;95;CARABANCHEL;Caída;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Mujer;7;438555,12;4471642,5;N;NULL
2021S001998;12/02/2021;20:30:00;PASEO. CASTELLANA, 67;67;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Mujer;6;441316,07;4477305,77;N;NULL
2021S002047;13/02/2021;15:00:00;PASEO. CASTELLANA, 243;243;TETUÁN;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;441679,93;4480496,9;N;NULL
2021S002050;13/02/2021;16:20:00;CALL. ANICETO MARINAS, 74;74;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;438252,79;4475329,36;N;NULL
2021S002050;13/02/2021;16:20:00;CALL. ANICETO MARINAS, 74;74;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Peatón;Desconocido;Mujer;14;438252,79;4475329,36;N;NULL
2021S002054;13/02/2021;17:15:00;AVDA. MIGUEL HERNANDEZ, 116;116;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;1;444824,92;4470090,86;N;NULL
2021S002054;13/02/2021;17:15:00;AVDA. MIGUEL HERNANDEZ, 116;116;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;14;444824,92;4470090,86;N;NULL
2021S002207;15/02/2021;8:30:00;PASEO. CASTELLANA / CALL. PADRE FRANCISCO PALAU Y QUER;274;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;14;441806,1;4480644,81;N;NULL
2021S002235;16/02/2021;14:20:00;PASEO DE LA CASTELLANA, 2;2;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;NULL;441498,31;4475301,64;N;NULL
2021S002241;11/02/2021;17:50:00;CALL. VALCARLOS / CALL. QUINTANAVIDES;24;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;7;443774,9;4484072,62;N;NULL
2021S002248;16/02/2021;21:00:00;CALL. BEJAR / CALL. AGUSTIN DURAN;15;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;442893,27;4476380,99;N;NULL
2021S002327;18/02/2021;15:25:00;CALL. GUTIERREZ SOLANA / CALL. MARCELIANO SANTA MARIA;4;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;3;441637,53;4477994,39;N;NULL
2021S002349;17/02/2021;19:15:00;AVDA. PLANETARIO, 12;12;ARGANZUELA;Alcance;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;442069,48;4471704,21;N;NULL
2021S002354;18/02/2021;18:30:00;CALL. SEDANO / CALL. PRADO ALEGRE;24;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;434317,31;4472223,36;N;NULL
2021S002359;18/02/2021;20:25:00;AVDA. INSTITUCION LIBRE DE ENSEÑANZA, 41;41;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;NULL;446284,42;4475874,13;N;NULL
2021S002383;19/02/2021;12:10:00;AVDA. POBLADOS / AVDA. ABRANTES;106;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;2;437506,01;4469493,04;N;NULL
2021S002401;19/02/2021;18:28:00;CALL. CAPITAN BLANCO ARGIBAY, 210;210;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;439836,48;4480144,74;N;NULL
2021S002498;18/02/2021;19:40:00;GTA. ANTONIO PERPIÑA / AVDA. JUAN ANTONIO SAMARANCH;0;HORTALEZA;Colisión lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;447599,22;4481401,91;N;NULL
2021S002541;20/02/2021;13:15:00;PLAZA. EMPERADOR CARLOS V, 8;8;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Mujer;7;441202,65;4473325,37;N;NULL
2021S002548;20/02/2021;13:15:00;CALL. SANCHIDRIAN, 13A;13A;LATINA;Colisión lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;7;434179,07;4471946,91;N;NULL
2021S002558;20/02/2021;18:10:00;CALL. EMBAJADORES / CALL. SEBASTIAN HERRERA;69;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;440501,44;4472791,73;N;NULL
2021S002603;21/02/2021;13:30:00;CALL. ARROYO FONTARRON, 24;24;MORATALAZ;Caída;Lluvia débil;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;446231,21;4471807,07;N;NULL
2021S002629;22/02/2021;17:00:00;PLAZA. EMPERADOR CARLOS V / CALL. ATOCHA;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Mujer;6;441230,58;4473448,2;N;NULL
2021S002631;16/02/2021;18:00:00;CALL. VALLE DE PINARES LLANOS / CALL. RISCOS DE POLANCO;27;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 35 a 39 años;Mujer;7;438767,79;4481886,31;N;NULL
2021S002645;22/02/2021;20:40:00;CALL. SAN BERNARDO, 55;55;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;14;440001,41;4475261,13;N;NULL
2021S002645;22/02/2021;20:40:00;CALL. SAN BERNARDO, 55;55;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;De 70 a 74 años;Hombre;5;440001,41;4475261,13;N;NULL
2021S002714;24/02/2021;15:05:00;CALL. JOSE ORTEGA Y GASSET / CALL. NUÑEZ DE BALBOA;26;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;NULL;442084,63;4475720,41;N;NULL
2021S002721;24/02/2021;17:55:00;CALL. BRAVO MURILLO, 175;175;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Mujer;NULL;440370,92;4478293,62;N;NULL
2021S002806;19/02/2021;14:30:00;CALL. MORALZARZAL, 61, PISTAS DEPORTIVAS;61;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;2;439619,86;4482804,54;N;NULL
2021S002807;26/02/2021;14:15:00;AVDA. ENTREVIAS / CALL. MENDEZ ALVARO;2;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;442938,04;4471234;N;NULL
2021S002810;19/02/2021;18:10:00;CALL. SANDALIA NAVAS, 17;17;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;2;438225,8;4481397,33;N;NULL
2021S002812;26/02/2021;14:45:00;CALL. RIBERA DE CURTIDORES, 25;25;CENTRO;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;6;439995,99;4473299,14;N;NULL
2021S002817;26/02/2021;19:29:00;CALL. HORTALEZA, 100;100;CENTRO;Colisión lateral;Se desconoce;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;440803,6;4475143,5;N;NULL
2021S002855;26/02/2021;6:25:00;CALL. GENERAL RICARDOS / CALL. FRANCISCO ROMERO;2;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Mujer;5;439186,41;4472124,99;N;NULL
2021S002879;27/02/2021;11:55:00;CALL. SEGOVIA, 8;8;CENTRO;Caída;Despejado;Bicicleta;Conductor;De 60 a 64 años;Hombre;1;439723,33;4473904,05;N;NULL
2021S002908;27/02/2021;19:15:00;PASEO. EMBARCADERO, 1;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;6;438498,11;4474461,12;N;NULL
2021S002961;28/02/2021;11:30:00;CALL. ALCALA, 29;29;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;7;440746,84;4474429,63;N;NULL
2021S003008;28/02/2021;17:15:00;PASEO. PRADO, 9;9;RETIRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;441222,78;4474290,87;N;NULL
2021S003050;27/02/2021;21:20:00;CALL. EDUARDO BARREIROS, 21;21;USERA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 35 a 39 años;Mujer;7;440886,1;4468797,19;N;NULL
2021S003057;19/02/2021;20:20:00;CALL. NUESTRA SEÑORA DE VALVERDE, 138;138;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;14;441831,44;4483306,96;N;NULL
2021S003061;26/02/2021;19:50:00;PASEO. ACACIAS / CALL. RIBERA DE CURTIDORES;20;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;440018,64;4472837,13;N;NULL
2021S003197;04/03/2021;11:30:00;AVDA. MARTIRES MARISTAS, 2E;2E;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;Más de 74 años;Hombre;3;438948,18;4479297,67;N;NULL
2021S003207;04/03/2021;15:30:00;CALL. BRAVO MURILLO, 145;145;TETUÁN;Colisión múltiple;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;440336,21;4478021,8;N;NULL
2021S003209;04/03/2021;15:35:00;CALL. FLORENCIO CANO CRISTOBAL / CALL. JOSE BERGAMIN;14;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;14;446412,16;4473550,01;N;NULL
2021S003217;03/03/2021;17:09:00;CALL. BRUJAS / CALL. ATENAS;3A;MORATALAZ;Atropello a persona;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;14;446914,61;4472883,07;N;NULL
2021S003217;03/03/2021;17:09:00;CALL. BRUJAS / CALL. ATENAS;3A;MORATALAZ;Atropello a persona;Despejado;Bicicleta;Peatón;Menor de 5 años;Hombre;6;446914,61;4472883,07;N;NULL
2021S003345;06/03/2021;13:35:00;AVDA. BUENOS AIRES / AVDA. MIGUEL HERNANDEZ;101;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Mujer;6;444598,88;4469981,97;N;NULL
2021S003348;05/03/2021;21:51:00;CALL. TORPEDERO TUCUMAN, 24;24;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;1;443007,5;4479270,72;N;NULL
2021S003383;06/03/2021;1:12:00;CALL. TOLEDO, 50;50;CENTRO;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;439920,92;4473730,57;N;NULL
2021S003420;07/03/2021;14:20:00;CALL. GRAN VIA / CALL. SAN BERNARDO;56;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;NULL;439986,55;4474774,26;N;NULL
2021S003426;06/03/2021;16:40:00;CALL. JUAN BRAVO / CALL. NUÑEZ DE BALBOA;15;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;442163,46;4476029,91;N;NULL
2021S003456;07/03/2021;12:10:00;CALL. VALLE DE MENA, 14;14;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Mujer;7;439229,31;4480236,36;N;NULL
2021S003470;07/03/2021;12:44:00;CMNO. ARROYO DE VALDEBEBAS / AUTOV. M-40;9;HORTALEZA;Colisión frontal;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;444711,11;4483827,56;N;NULL
2021S003470;07/03/2021;12:44:00;CMNO. ARROYO DE VALDEBEBAS / AUTOV. M-40;9;HORTALEZA;Colisión frontal;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;444711,11;4483827,56;N;NULL
2021S003486;08/03/2021;17:03:00;PASEO. REINA CRISTINA, 15;15;RETIRO;Alcance;Lluvia débil;Bicicleta;Conductor;De 40 a 44 años;Hombre;2;442150,6;4473176,66;N;NULL
2021S003555;09/03/2021;18:30:00;AVDA. MEDITERRANEO / CALL. POZA DE LA SAL;136;VILLA DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;3;451166,52;4468367,96;N;NULL
2021S003556;04/03/2021;15:58:00;PLAZA. BEATA MARIA ANA DE JESUS, 1;1;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;1;441074,05;4471797,95;N;NULL
2021S003640;10/03/2021;7:54:00;CALL. MATEO INURRIA / PASEO. LA HABANA;58;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;442419,28;4479863,74;N;NULL
2021S003640;10/03/2021;7:54:00;CALL. MATEO INURRIA / PASEO. LA HABANA;58;CHAMARTÍN;Caída;Despejado;Bicicleta;Peatón;De 40 a 44 años;Mujer;14;442419,28;4479863,74;N;NULL
2021S003661;10/03/2021;17:22:00;CALL. PRADILLO, 34;34;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;443015,64;4477794,79;N;NULL
2021S003666;10/03/2021;14:40:00;PASEO. LA HABANA, 72;72;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;442038,79;4478374,86;N;NULL
2021S003668;11/03/2021;15:10:00;CALL. TRAFALGAR, 25;25;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;Más de 74 años;Hombre;5;440502,39;4476086,53;N;NULL
2021S003918;13/03/2021;11:10:00;PQUE. JUAN CARLOS I, 1;1;BARAJAS;Atropello a persona;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;2;448082,9;4478956,1;N;NULL
2021S003918;13/03/2021;11:10:00;PQUE. JUAN CARLOS I, 1;1;BARAJAS;Atropello a persona;Despejado;Bicicleta;Peatón;De 35 a 39 años;Mujer;2;448082,9;4478956,1;N;NULL
2021S003930;13/03/2021;22:18:00;CALL. BRAVO MURILLO / CALL. AZUCENAS;309;TETUÁN;Alcance;NULL;Bicicleta;Conductor;De 25 a 29 años;Hombre;NULL;440884,69;4479363,17;N;NULL
2021S003969;14/03/2021;11:00:00;CALL. ARROYOFRESNO, 1-M-30 CARRIL BICI;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 65 a 69 años;Hombre;7;436487,03;4480310,76;N;NULL
2021S003998;14/03/2021;15:45:00;AVDA. DOCTOR GARCIA TAPIA / CALL. MARROQUINA;53;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;NULL;445210,95;4473677,97;N;NULL
2021S004021;15/03/2021;15:30:00;CALL. GALILEO, 86;86;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;Conductor;De 15 a 17 años;Mujer;7;439789,53;4476540,87;N;NULL
2021S004021;15/03/2021;15:30:00;CALL. GALILEO, 86;86;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;14;439789,53;4476540,87;N;NULL
2021S004032;14/03/2021;13:00:00;PASEO. TORRECILLA / PASEO. AZUL;4;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;437791,24;4474711,96;N;NULL
2021S004032;14/03/2021;13:00:00;PASEO. TORRECILLA / PASEO. AZUL;4;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;14;437791,24;4474711,96;N;NULL
2021S004063;16/03/2021;14:20:00;CALL. GRAN VIA / CALL. ISABEL LA CATOLICA;70;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;439814,58;4474920,04;N;NULL
2021S004066;16/03/2021;16:40:00;PASEO. EMBARCADERO / PASEO. AZUL;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;6;438498,11;4474461,12;N;NULL
2021S004147;17/03/2021;16:05:00;PASEO. PRADO, 11;11;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;441245,57;4473910,99;N;NULL
2021S004190;17/03/2021;22:15:00;PASEO. ESPERANZA / CALL. CAOBA;11;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;440137,97;4472692,26;N;NULL
2021S004219;18/03/2021;15:00:00;CALL. CLAUDIO COELLO / CALL. PADILLA;90;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Mujer;7;441845,97;4475871,51;N;NULL
2021S004294;19/03/2021;16:20:00;CALL. VIA DE DUBLIN / AUTOV. M-11;3;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;447864,39;4479159,67;N;NULL
2021S004316;19/03/2021;22:00:00;CALL. DOCTOR ESQUERDO / CALL. ASTROS;96;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;443145,12;4473599,58;N;NULL
2021S004356;14/03/2021;12:38:00;PASEO. AZUL / PASEO. EMBARCADERO;2;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;Desconocido;Desconocido;NULL;438182,49;4474613,47;N;NULL
